mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__nstates,param_clf__pew,param_discretize__bins,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_aic,split1_test_aic,split2_test_aic,mean_test_aic,std_test_aic,rank_test_aic,split0_test_log_loss,split1_test_log_loss,split2_test_log_loss,mean_test_log_loss,std_test_log_loss,rank_test_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_mod_roc_auc,split1_test_mod_roc_auc,split2_test_mod_roc_auc,mean_test_mod_roc_auc,std_test_mod_roc_auc,rank_test_mod_roc_auc,split0_test_mod_roc_auc_no_pew,split1_test_mod_roc_auc_no_pew,split2_test_mod_roc_auc_no_pew,mean_test_mod_roc_auc_no_pew,std_test_mod_roc_auc_no_pew,rank_test_mod_roc_auc_no_pew
0.0487823486328125,0.0030545414644272727,6.491548617680867,2.6237800071779462,3,10,"[0, 5, 95, 100]","{'clf__nstates': 3, 'clf__pew': np.int64(10), 'discretize__bins': [0, 5, 95, 100]}",0.02631578947368421,0.0022123893805309734,0.006622516556291391,0.011716898470168859,0.010478804617766483,44,1451.8117039173253,1451.8689981193918,1451.8558218968476,1451.8455079778548,0.024500871975637734,73,-0.09414804133739392,-0.06550094030409948,-0.07208905157616728,-0.07724601107255356,0.012250435987846076,16,0.9143518518518519,0.5140086206896552,0.8863636363636364,0.7715747029683812,0.18248479408225085,15,0.9415212187911506,0.7690631808278867,0.9266898857062792,0.8790914284417721,0.07803697228453305,1,0.9607508532423208,0.7905882352941177,0.9472868217054263,0.8995419700806216,0.0772377596742789,11
0.059078375498453774,0.0002650168334028646,6.592097679773967,2.7022554067614477,4,60,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(60), 'discretize__bins': [0, 5, 50, 95, 100]}",0.011235955056179775,0.001893939393939394,0.07142857142857142,0.028186155292896864,0.030813938719314694,15,5454.819711624001,5455.713772141992,5455.497840235592,5455.343774667195,0.3809096148098403,65,-0.5901441879998012,-0.14311392900400988,-0.2510798822041654,-0.3281126664026588,0.19045480740495857,108,0.7962962962962963,0.43211206896551724,0.9901515151515151,0.7395199601377763,0.2313290155249052,25,0.5538047611418133,0.7327188940092166,0.4954092448375558,0.5939776333295286,0.10095993311656551,48,0.9174757281553398,0.7778541953232462,1.0,0.8984433078261954,0.09168374774756807,12
0.06531405448913574,0.003095625111100915,6.846943219502767,2.7288110267233803,4,70,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(70), 'discretize__bins': [0, 5, 50, 95, 100]}",0.011235955056179775,0.001893939393939394,0.07142857142857142,0.028186155292896864,0.030813938719314694,15,5454.812330771875,5455.712054007145,5455.482320530747,5455.335568436589,0.3816871387892704,66,-0.5938346140626017,-0.1439729964275133,-0.2588397346268496,-0.33221578170565486,0.19084356939475833,109,0.7962962962962963,0.43211206896551724,0.9901515151515151,0.7395199601377763,0.2313290155249052,25,0.5233153163314403,0.7354312354312355,0.4427505710011054,0.5671657075879271,0.12344401009587525,57,0.9174757281553398,0.7778541953232462,0.9996165644171778,0.8983154959652547,0.0915422414688861,13
0.056415398915608726,0.0031351185699489497,6.490501960118611,2.5345368263777153,4,40,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(40), 'discretize__bins': [0, 5, 50, 95, 100]}",0.011235955056179775,0.0019047619047619048,0.07142857142857142,0.02818976279650437,0.030810860859418327,14,5454.844225739808,5455.75614034335,5455.577392992613,5455.392586358591,0.3945564429602863,62,-0.5778871300956436,-0.12192982832498664,-0.21130350369351295,-0.3037068207047144,0.19727822148005245,100,0.7962962962962963,0.43534482758620685,0.9901515151515152,0.7405975463446728,0.22989762678407902,24,0.6429855283534438,0.7280405405405406,0.6504461806692554,0.6738240831877466,0.03845762619784579,28,0.9158576051779935,0.7785419532324622,1.0,0.8981331861368186,0.09127443195215774,14
0.05462177594502767,0.0018955331682391486,6.465129613876343,2.553131293230824,4,50,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(50), 'discretize__bins': [0, 5, 50, 95, 100]}",0.011235955056179775,0.001893939393939394,0.07142857142857142,0.028186155292896864,0.030813938719314694,15,5454.836092033864,5455.717440166447,5455.527650180941,5455.360394127084,0.3787475618103672,64,-0.5819539830679472,-0.14127991677661753,-0.23617490952950346,-0.31980293645802277,0.1893737809050339,107,0.7962962962962963,0.43211206896551724,0.990151515151515,0.7395199601377763,0.23132901552490517,25,0.5940183490499449,0.7300683371298405,0.5631447714023089,0.6290771525273647,0.07251532699942202,39,0.9158576051779935,0.7778541953232463,1.0,0.8979039335004133,0.09157488876651854,15
0.45382507642110187,0.012608708758189308,6.330642779668172,2.4901571384995687,2,10,"[0, 95, 100]","{'clf__nstates': 2, 'clf__pew': np.int64(10), 'discretize__bins': [0, 95, 100]}",0.024390243902439025,0.0022675736961451248,0.007462686567164179,0.011373501388582776,0.009445421772466683,47,247.75843475951612,247.84563127542245,247.88601876309494,247.83002826601117,0.053241649857458426,108,-0.12078262024194045,-0.07718436228878194,-0.05699061845253624,-0.08498586699441953,0.02662082492872703,19,0.9085648148148148,0.5264008620689655,0.8992424242424242,0.7780693670420682,0.17799719855106988,13,0.9349236646901514,0.7668845315904139,0.9055925859204548,0.8691335940670067,0.07328588371783099,2,0.9623287671232876,0.7885747938751473,0.9403100775193799,0.8970712128392716,0.07724338318586434,16
0.05567208925882975,0.0011515072949450941,6.465238253275554,2.5283596499159167,4,80,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(80), 'discretize__bins': [0, 5, 50, 95, 100]}",0.011235955056179775,0.001893939393939394,0.023255813953488372,0.01212856946786918,0.008743759357028806,39,5454.808099133481,5455.706064136475,5455.423166105034,5455.312443124997,0.37485994751985446,67,-0.5959504332597014,-0.14696793176260825,-0.2884169474829387,-0.34377843750174947,0.1874299737599334,111,0.7962962962962964,0.43211206896551724,0.9681818181818181,0.7321967278145439,0.22349386272836383,36,0.4865330536235204,0.7376179245283019,0.3925459405748622,0.5388989729088948,0.1456601310227396,66,0.9174757281553397,0.7771664374140302,0.9869631901840491,0.8938684519178063,0.0872607089387028,17
0.05917588869730631,0.005961711913015547,6.439963658650716,2.511982752438839,4,100,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(100), 'discretize__bins': [0, 5, 50, 95, 100]}",0.010752688172043012,0.001893939393939394,0.02127659574468085,0.011307741103554418,0.007922663887873367,51,5454.7351664023745,5455.677574655183,5455.374218559318,5455.262319872291,0.3927885910249541,70,-0.6324167988128637,-0.16121267240863374,-0.3128907203407796,-0.36884006385409235,0.19639429551249085,117,0.787037037037037,0.43211206896551724,0.9651515151515152,0.7281002070513565,0.22156703311359238,39,0.3755501448112186,0.7433574879227054,0.32326716592728166,0.4807249328870686,0.18693184443116276,84,0.9158576051779935,0.7771664374140302,0.9858019953952417,0.8929420126624219,0.08670271929141038,18
0.05767289797465006,0.003652356110292529,6.466271718343099,2.548196822345013,4,90,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(90), 'discretize__bins': [0, 5, 50, 95, 100]}",0.01098901098901099,0.001893939393939394,0.022222222222222223,0.011701724201724203,0.008314274503500857,45,5454.75616309531,5455.683775915585,5455.3968481754755,5455.278929062123,0.38776717589740606,69,-0.6219184523452622,-0.15811204220734895,-0.30157591226242375,-0.3605354689383449,0.193883587948749,115,0.7916666666666666,0.43211206896551724,0.9666666666666667,0.7301484674329503,0.22252418761201198,37,0.41205634856864437,0.7392601431980907,0.3550436669888546,0.5021200529185299,0.16929102807213053,80,0.9158576051779935,0.7757909215955984,0.9861963190184049,0.8926149485973323,0.08745579313709376,19
0.05748454729715983,0.0007965711929220682,6.3495588302612305,2.5489424864240857,4,30,"[0, 20, 50, 80, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(30), 'discretize__bins': [0, 20, 50, 80, 100]}",0.009009009009009009,0.0029585798816568047,0.02127659574468085,0.011081394878448886,0.007620521140682821,53,5455.654671842965,5455.881702350814,5455.804146491027,5455.780173561602,0.09422221564774866,38,-0.1726640785174285,-0.059148824593223306,-0.09792675448652231,-0.10991321919905804,0.047111107823936405,31,0.7453703703703703,0.6368534482758621,0.9651515151515151,0.7824584445992491,0.1365687839297541,12,0.5741686899744505,0.6526593981002906,0.6520214352621121,0.6262831744456178,0.036851425733770225,41,0.8719723183391004,0.8157015590200446,0.9830899308224442,0.8902546027271964,0.06954805626567387,20
