Date,Activity_Scale
1972-02-07,1
1972-02-07,1
1972-02-07,1
1972-02-07,1
1972-02-07,1
1972-04-11,1
1972-04-11,1
1972-04-11,1
1972-04-11,1
1972-04-11,1
1972-04-11,1
1972-07-09,1
1972-07-09,1
1972-07-09,1
1972-07-09,1
1972-12-20,1
1972-12-20,1
1972-12-20,1
1973-03-08,1
1973-03-08,1
1973-03-08,1
1973-03-08,1
1973-03-08,1
1973-03-08,1
1973-06-13,1
1973-06-13,1
1973-06-13,1
1973-06-13,1
1973-06-13,1
1973-06-13,1
1973-06-13,1
1973-08-16,1
1973-08-16,1
1973-08-16,1
1973-08-16,1
1973-08-16,1
1974-02-27,1
1974-02-27,1
1974-02-27,1
1974-02-27,1
1974-02-27,1
1974-03-29,1
1974-03-29,1
1974-03-29,1
1974-03-29,1
1974-03-29,1
1974-03-29,1
1974-03-29,1
1974-03-29,1
1974-08-29,1
1974-08-29,1
1974-08-29,1
1974-08-29,1
1974-08-29,1
1974-08-29,1
1974-08-29,1
1974-08-29,1
1974-09-18,1
1974-09-18,1
1974-09-18,1
1974-09-18,1
1974-09-18,1
1974-09-18,1
1974-10-24,1
1974-10-24,1
1974-10-24,1
1974-10-24,1
1974-10-24,1
1974-11-19,1
1974-11-19,1
1974-11-19,1
1974-11-19,1
1974-11-19,1
1975-05-06,1
1975-05-06,1
1975-05-06,1
1975-10-21,1
1975-10-21,1
1975-10-21,1
1975-10-21,1
1975-10-21,1
1975-10-21,1
1975-10-21,1
1975-10-30,1
1975-10-30,1
1975-10-30,1
1975-10-30,1
1975-11-19,1
1975-11-19,1
1975-11-19,1
1975-11-19,1
1975-11-19,1
1976-04-14,1
1976-04-14,1
1976-04-14,1
1976-04-14,1
1976-12-13,1
1976-12-13,1
1976-12-13,1
1976-12-13,1
1976-12-13,1
1976-12-13,1
1976-12-13,1
1976-12-26,1
1976-12-30,1
1976-12-30,1
1977-01-08,1
1977-01-08,1
1977-01-08,1
1977-01-08,1
1977-01-11,1
1977-01-11,1
1977-01-11,1
1977-01-11,1
1977-01-11,1
1977-01-17,1
1977-01-17,1
1977-01-24,1
1977-01-24,1
1977-01-24,1
1977-01-24,1
1977-01-25,1
1977-01-25,1
1977-02-14,1
1977-02-14,1
1977-02-14,1
1977-02-14,1
1977-02-14,1
1977-02-15,1
1977-02-15,1
1977-02-15,1
1977-02-15,1
1977-02-15,1
1977-02-15,1
1977-03-11,1
1977-03-11,1
1977-03-11,1
1977-03-11,1
1977-03-11,1
1977-03-25,1
1977-03-25,1
1977-03-25,1
1977-03-25,1
1977-03-25,1
1977-03-25,1
1977-03-28,1
1977-03-28,1
1977-04-04,1
1977-04-04,1
1977-04-14,1
1977-04-14,1
1977-04-14,1
1977-04-14,1
1977-04-19,1
1977-04-19,1
1977-04-19,1
1977-04-20,1
1977-05-05,1
1977-05-05,1
1977-05-05,1
1977-05-05,1
1977-05-05,1
1977-05-05,1
1977-05-24,1
1977-05-24,1
1977-05-24,1
1977-05-25,1
1977-05-25,1
1977-05-25,1
1977-05-25,1
1977-06-01,1
1977-06-01,1
1977-06-01,1
1977-06-01,1
1977-06-01,1
1977-06-01,1
1977-07-05,1
1977-07-05,1
1977-07-05,1
1977-07-05,1
1977-07-05,1
1977-07-26,1
1977-07-26,1
1977-07-26,1
1977-08-03,1
1977-08-03,1
1977-08-03,1
1977-08-03,1
1977-08-25,1
1977-08-25,1
1977-08-25,1
1977-08-25,1
1977-08-28,1
1977-08-28,1
1977-08-28,1
1977-08-28,1
1977-10-09,1
1977-10-09,1
1977-10-09,1
1977-10-09,1
1977-11-10,1
1977-11-10,1
1977-11-10,1
1977-11-10,1
1977-11-10,1
1977-11-10,1
1977-11-10,1
1977-11-20,1
1977-11-20,1
1978-01-19,1
1978-01-19,1
1978-01-19,1
1978-01-19,1
1978-01-19,1
1978-01-19,1
1978-02-16,1
1978-02-16,1
1978-02-16,1
1978-02-16,1
1978-02-23,1
1978-02-23,1
1978-02-23,1
1978-02-23,1
1978-02-27,1
1978-02-27,1
1978-02-27,1
1978-02-27,1
1978-02-27,1
1978-02-27,1
1978-03-02,1
1978-03-02,1
1978-03-02,1
1978-03-02,1
1978-03-02,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-16,1
1978-03-21,1
1978-03-21,1
1978-03-21,1
1978-03-21,1
1978-03-21,1
1978-04-05,1
1978-04-05,1
1978-04-05,1
1978-04-05,1
1978-04-05,1
1978-05-02,1
1978-05-02,1
1978-05-02,1
1978-05-02,1
1978-05-02,1
1978-05-17,1
1978-05-17,1
1978-05-17,1
1978-05-17,1
1978-05-17,1
1978-05-17,1
1978-05-17,1
1978-06-28,1
1978-06-28,1
1978-06-28,1
1978-06-28,1
1978-07-26,1
1978-07-26,1
1978-07-26,1
1978-07-26,1
1978-07-26,1
1978-07-26,1
1978-08-06,1
1978-08-06,1
1978-08-09,1
1978-08-29,1
1978-08-29,1
1978-08-29,1
1978-08-31,1
1978-08-31,1
1978-08-31,1
1978-12-01,1
1978-12-01,1
1978-12-07,1
1978-12-07,1
1978-12-07,1
1978-12-07,1
1978-12-24,1
1978-12-25,1
1978-12-25,1
1978-12-25,1
1979-01-01,1
1979-01-01,1
1979-01-09,1
1979-01-09,1
1979-01-09,1
1979-01-09,1
1979-01-12,1
1979-01-12,1
1979-01-12,1
1979-01-23,1
1979-01-23,1
1979-01-23,1
1979-01-23,1
1979-01-23,1
1979-01-25,1
1979-01-25,1
1979-01-25,1
1979-01-31,1
1979-01-31,1
1979-01-31,1
1979-03-15,1
1979-03-15,1
1979-03-15,1
1979-04-12,1
1979-04-12,1
1979-04-12,1
1979-05-18,1
1979-05-18,1
1979-05-18,1
1979-05-18,1
1979-05-28,1
1979-05-28,1
1979-05-28,1
1979-05-28,1
1979-05-28,1
1979-07-16,1
1979-07-16,1
1979-07-16,1
1979-07-16,1
1979-07-16,1
1979-08-06,1
1979-08-06,1
1979-08-06,1
1979-08-06,1
1979-09-28,1
1979-09-28,1
1979-09-28,1
1979-10-25,1
1979-10-25,1
1979-10-25,1
1979-10-25,1
1979-10-25,1
1979-11-27,1
1979-11-27,1
1979-11-27,1
1979-11-27,1
1979-11-28,1
1980-02-07,1
1980-02-07,1
1980-02-07,1
1980-02-07,1
1980-02-07,1
1980-02-15,1
1980-02-15,1
1980-02-15,1
1980-02-20,1
1980-02-20,1
1980-02-20,1
1980-02-20,1
1980-02-20,1
1980-04-12,1
1980-04-12,1
1980-04-12,1
1980-04-12,1
1980-04-12,1
1980-04-18,1
1980-04-18,1
1980-05-26,1
1980-05-26,1
1980-05-26,1
1980-05-26,1
1980-05-26,1
1980-06-13,1
1980-06-13,1
1980-06-13,1
1980-06-13,1
1980-07-28,1
1980-07-28,1
1980-07-28,1
1980-07-28,1
1980-07-28,1
1980-08-06,1
1980-08-06,1
1980-08-06,1
1980-09-11,1
1980-09-11,1
1980-10-21,1
1980-10-21,1
1980-10-21,1
1980-10-21,1
1980-10-21,1
1980-11-12,1
1980-11-12,1
1980-11-12,1
1980-12-02,1
1980-12-02,1
1981-01-07,1
1981-01-07,1
1981-01-17,1
1981-01-17,1
1981-02-24,1
1981-02-24,1
1981-02-24,1
1981-02-24,1
1981-03-06,1
1981-03-06,1
1981-03-06,1
1981-03-06,1
1981-03-06,1
1981-05-01,1
1981-05-01,1
1981-05-01,1
1981-05-21,1
1981-05-21,1
1981-07-13,1
1981-07-13,1
1981-07-13,1
1981-07-13,1
1981-07-13,1
1981-08-29,1
1981-08-29,1
1981-08-29,1
1981-08-29,1
1981-08-29,1
1981-09-09,1
1981-09-09,1
1981-09-18,1
1981-09-18,1
1981-09-18,1
1981-09-18,1
1981-09-18,1
1981-12-02,1
1982-01-29,1
1982-01-29,1
1982-01-29,1
1982-01-29,1
1982-01-29,1
1982-06-01,1
1982-06-01,1
1982-06-01,1
1982-06-01,1
1982-07-05,1
1982-07-05,1
