pew,nstates,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__modelfile,param_discretize__bins,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_aic,split1_test_aic,split2_test_aic,mean_test_aic,std_test_aic,rank_test_aic,split0_test_log_loss,split1_test_log_loss,split2_test_log_loss,mean_test_log_loss,std_test_log_loss,rank_test_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_mod_roc_auc,split1_test_mod_roc_auc,split2_test_mod_roc_auc,mean_test_mod_roc_auc,std_test_mod_roc_auc,rank_test_mod_roc_auc,split0_test_mod_roc_auc_no_pew,split1_test_mod_roc_auc_no_pew,split2_test_mod_roc_auc_no_pew,mean_test_mod_roc_auc_no_pew,std_test_mod_roc_auc_no_pew,rank_test_mod_roc_auc_no_pew
70,5,2,0.1275939146677653,0.02766554628508093,2.241098721822103,0.8071982935991519,fully_connected_model_5_states.xdsl,"[0, 5, 25, 75, 95, 100]","{'clf__modelfile': 'fully_connected_model_5_states.xdsl', 'discretize__bins': [0, 5, 25, 75, 95, 100]}",0.11216537823013804,0.07126788167257991,0.07035784312565636,0.08459703434279144,0.019497302908478942,3,15618.22075706313,15619.291254604426,15619.401569244617,15618.971193637391,0.5325464730588898,3,-0.8896214684344409,-0.3543726977871286,-0.2992153776916706,-0.5144031813044133,0.2662732365292239,3,0.3068870523415978,0.5087643439215035,0.42487153134635147,0.41350764253648425,0.08280685837365499,3,0.2999103456014194,0.6797346200241254,0.4985200495191822,0.492721671714909,0.15511680706068917,2,0.86084142394822,0.728177641653905,1.0,0.8630063552007083,0.11098157150237217,2
70,5,0,0.12538250287373862,0.03133716663167249,2.2467532952626548,0.8273521804387259,fully_connected_model_5_states.xdsl,"[0, 20, 40, 60, 80, 100]","{'clf__modelfile': 'fully_connected_model_5_states.xdsl', 'discretize__bins': [0, 20, 40, 60, 80, 100]}",0.19023777946512094,0.21218641116373663,0.033173244788972434,0.14519914513927668,0.07971945546867293,2,15618.985552256321,15619.493553470957,15619.420260962539,15619.299788896606,0.2242044417051427,1,-0.5072238718397419,-0.2532232645220102,-0.2898695187301913,-0.35010555169731444,0.11210222085268545,1,0.5920503738685557,0.7138366871777815,0.2295306611853374,0.5118059074105582,0.20569793792678137,2,0.25822902977595974,0.3506537022821703,0.3691244198318829,0.32600238396333764,0.048512627256939646,3,0.7768166089965398,0.6513966480446928,0.880061115355233,0.7694247907988219,0.0934980886963449,3
80,2,2,0.08865602811177571,0.017759781832176566,1.28943928082784,0.47380664650963605,fully_connected_model_2_states.xdsl,"[0, 95, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 95, 100]}",0.2572663739695197,0.1956254021477166,0.04871857244432505,0.16720344952052046,0.0874791477004851,2,246.1242729699495,247.4373354750526,247.0934237135468,246.88501071951632,0.5559438026980111,3,-0.9378635150252519,-0.2813322624737024,-0.45328814322659877,-0.557494640241851,0.27797190134900196,3,0.6951487252124646,0.7547040636042402,0.3182614826752619,0.5893714238306555,0.1932393330004712,1,0.5897719403279972,0.7436152208544345,0.4317504593314246,0.5883792068379521,0.12732206446614477,1,0.7788104089219331,0.7646370023419204,0.941967717140661,0.8284717094681716,0.08046212020454481,1
80,2,1,0.07979774475097656,0.017605059363414517,1.309388796488444,0.4783278577599115,fully_connected_model_2_states.xdsl,"[0, 50, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 50, 100]}",0.3754336734459566,0.5373103031559822,0.032983419411396264,0.31524246533777833,0.2102437277178129,1,247.06648781917346,247.48944868251343,246.80383554326235,247.1199240149831,0.28243927305455874,2,-0.466756090413271,-0.25527565874328034,-0.5980822283688206,-0.44003799250845727,0.14121963652728092,2,0.6778328611898017,0.8273777974087161,0.07125805801772764,0.5254895722054151,0.3269409970704289,3,0.2231307029057209,0.7287735849056604,0.22065761839109113,0.39085396873415745,0.23894738511769492,3,0.8295081967213115,0.7664835164835164,0.7778631821675633,0.7912849651241304,0.027424268730074034,2
80,2,0,0.0881044864654541,0.01717499331145379,1.2776864369710286,0.48344423382026874,fully_connected_model_2_states.xdsl,"[0, 5, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 5, 100]}",0.14770014686712568,0.19875709219263063,0.10694324586511043,0.1511334949749556,0.03756138534706024,3,246.8700306208364,247.43578436694304,247.54551777610004,247.2837775879598,0.29597327567894244,1,-0.5649846895818065,-0.28210781652848244,-0.22724111194997604,-0.35811120602008834,0.14798663783947213,1,0.3916784702549575,0.6630005889281507,0.612076954069299,0.5555853377508024,0.11774945167893495,2,0.27485108583670725,0.66143264591423,0.3321237282100622,0.42280248665366643,0.17034925608417548,2,0.8221830985915494,0.7733026467203682,0.7031007751937984,0.7661955068352387,0.04887421620487797,3
80,3,0,0.10089683532714844,0.020864944093263067,1.401018222173055,0.49937848117006994,fully_connected_model_3_states.xdsl,"[0, 5, 95, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 5, 95, 100]}",0.18955494931940167,0.105963860969738,0.04899392942908853,0.11483757990607607,0.057725830405299466,1,1450.498039611096,1451.3464676446536,1451.1557274169757,1451.0000782242416,0.36343503356231927,1,-0.7509801944520152,-0.32676617767320537,-0.42213629151219917,-0.49996088787913995,0.18171751678114953,1,0.5619511331444759,0.578783863368669,0.341941982272361,0.4942256595951687,0.10789987329593384,1,0.392206891512612,0.678254976420114,0.41865904617935623,0.49637363803736073,0.12906211698391473,1,0.8725490196078431,0.799165673420739,0.9769938650306749,0.882902852686419,0.0729662836629781,1
80,3,2,0.09154399236043294,0.018866100947919514,1.3433655103047688,0.4837887082629952,fully_connected_model_3_states.xdsl,"[0, 25, 75, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 25, 75, 100]}",0.12275954685612571,0.07468350835596738,0.044492136219922485,0.08064506381067187,0.032229406856716554,3,1449.9885013376327,1451.1332968962429,1451.3609304306638,1450.8275762215133,0.6005493330096242,3,-1.0057493311836938,-0.4333515518785583,-0.31953478466816004,-0.5862118892434707,0.30027466650481416,3,0.26048158640226626,0.46600412249705536,0.3361099919419822,0.3541985669471013,0.08487353580473062,2,0.21661318750847383,0.3733463274747678,0.3468739141564667,0.3122778097132361,0.06850297863552436,3,0.6285714285714286,0.671875,0.9162203519510329,0.7388889268408204,0.12663234334963955,2
80,3,1,0.09098275502522786,0.02153768209635737,1.35777481396993,0.48132504691343875,fully_connected_model_3_states.xdsl,"[0, 33, 66, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 33, 66, 100]}",0.1495219797107416,0.0644513040080957,0.038440106070317635,0.08413779659638498,0.04743742654408617,2,1450.776214723492,1450.7336056677568,1451.2591781198778,1450.9229995037088,0.23834978411931032,2,-0.6118926382540023,-0.6331971661215544,-0.37041094006108694,-0.5385002481455479,0.11917489205966568,2,0.42011331444759203,0.3477620730270907,0.2332191780821918,0.3336981885189582,0.07694456527282383,3,0.2381039845845879,0.5989010989010989,0.5,0.4456683611618956,0.1522226103636952,2,0.8571428571428571,0.6175616835994194,0.5,0.6582348469140922,0.14861243726004753,3
80,4,1,0.10368005434672038,0.023750511021477617,1.6909387111663818,0.6391136354964458,fully_connected_model_4_states.xdsl,"[0, 5, 50, 95, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 5, 50, 95, 100]}",0.2124403457555537,0.17271590843463724,0.039336632905881005,0.14149762903202398,0.07403674572908693,2,5454.773204920958,5455.474628119229,5454.7925806635885,5455.013471234592,0.3261830866623892,2,-0.6133975395208011,-0.26268594038536813,-0.6037096682055197,-0.49326438270389633,0.16309154333110898,2,0.6278328611898016,0.7465106007067137,0.18461925866236906,0.5196542401862948,0.24180905772635836,1,0.4858978106161297,0.7376179245283019,0.39261282846813333,0.5387095212041882,0.14571418750027781,1,0.9174757281553397,0.7771664374140302,0.9869631901840491,0.8938684519178063,0.0872607089387028,1
80,4,3,0.094878355662028,0.02238141907170101,1.6100648244222004,0.5973488682109738,fully_connected_model_4_states.xdsl,"[0, 20, 50, 80, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 20, 50, 80, 100]}",0.14053952355703242,0.468485155695872,0.03818555585813661,0.21573674503701368,0.18354001015920357,1,5454.763640977795,5455.448264971732,5455.011746950477,5455.074550966668,0.2830026638341321,1,-0.6181795111022602,-0.2758675141341718,-0.49412652476151425,-0.46272451666598213,0.14150133191692116,1,0.3725920679886686,0.6803886925795052,0.1852639000805802,0.41274822021625135,0.20411847451593643,3,0.29116848091723546,0.4426409472281032,0.3678071087740349,0.36720551230645787,0.06183983856871228,3,0.8615916955017301,0.7943143812709029,0.9667431192660549,0.8742163986795627,0.07095752142137096,2
80,4,2,0.1111305554707845,0.018175212614077802,1.6313303311665852,0.6058512674859013,fully_connected_model_4_states.xdsl,"[0, 10, 50, 90, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 10, 50, 90, 100]}",0.1823649183530035,0.11985650663197767,0.042967560337944855,0.11506299510764201,0.05700958498325852,3,5454.633601012307,5455.369459835584,5455.022140952039,5455.008400599977,0.300570180273955,3,-0.6831994938464041,-0.3152700822078586,-0.4889295239804254,-0.49579970001156276,0.15028509013692537,3,0.5396954674220963,0.6836866902237927,0.21567788074133762,0.47968667946240884,0.19571893523211506,2,0.255404188915633,0.7511040106201955,0.4049787515913097,0.4704956503757127,0.20760367101639934,2,0.8122977346278317,0.7716627634660421,0.994270435446906,0.8594103111802599,0.09679269964978858,3
80,4,0,0.10862326622009277,0.01938865653047609,1.573035717010498,0.55767518694292,fully_connected_model_4_states.xdsl,"[0, 25, 50, 75, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 25, 50, 75, 100]}",0.14258349993280206,0.07605685075642751,0.0503519731784898,0.08966410795590646,0.03886327931117353,4,5454.389512452533,5455.199605907471,5455.3183935907555,5454.969170650253,0.41273910085582244,4,-0.805243773733516,-0.40019704626476976,-0.3408032046223859,-0.5154146748735572,0.20636955042793492,4,0.38711048158640227,0.47444051825677264,0.3200141015310234,0.39385503379139947,0.06322444824603396,4,0.4250259956472566,0.11757812500000002,0.40453173253470376,0.3157119510606535,0.14035137685396745,4,0.95,0.5938511326860841,0.9828113063407181,0.842220813008934,0.17613398126369997,4
80,5,1,0.13051676750183105,0.036782420660900886,2.263749281565348,0.8405842503525776,fully_connected_model_5_states.xdsl,"[0, 5, 20, 80, 95, 100]","{'clf__modelfile': 'fully_connected_model_5_states.xdsl', 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.13066983846991065,0.8812078502640895,0.04897175236134177,0.353616480365114,0.3745514068076273,1,15618.735073637643,15619.629470081281,15619.133876049806,15619.16613992291,0.36584784426412076,2,-0.6324631811787461,-0.18526495935971252,-0.43306197509681715,-0.416930038545092,0.18292392213195818,2,0.3173158640226629,0.9615871613663134,0.22544319097502016,0.5014487387879988,0.3275216765985365,1,0.26468726736747444,0.9150219053017307,0.42271976049696663,0.5341429777220572,0.27694179331508434,1,0.8693548387096773,0.9708737864077671,0.9927314460596787,0.9443200237257078,0.053754215615958584,1
80,5,2,0.12487355868021648,0.029996838762312565,2.241882085800171,0.7860642861305963,fully_connected_model_5_states.xdsl,"[0, 5, 25, 75, 95, 100]","{'clf__modelfile': 'fully_connected_model_5_states.xdsl', 'discretize__bins': [0, 5, 25, 75, 95, 100]}",0.12229567638418393,0.07257638000597672,0.06198538371788047,0.08561914670268038,0.02629218100123147,3,15618.092910155581,15619.20446982436,15619.296133546293,15618.864504508747,0.5468814276455376,3,-0.9535449222096585,-0.39776508781954806,-0.3519332268531614,-0.567747745627456,0.273440713822954,3,0.2621458923512748,0.43686690223792696,0.351027397260274,0.35001339728315856,0.07133315718475804,3,0.234337251978507,0.6343101343101343,0.42453146003339187,0.43105961544067767,0.16335348024031343,2,0.86084142394822,0.6687116564417178,0.9999999999999999,0.8431843601299792,0.13582297442236752,2
80,5,0,0.12373439470926921,0.02926963180793588,2.221637487411499,0.8294826087069325,fully_connected_model_5_states.xdsl,"[0, 20, 40, 60, 80, 100]","{'clf__modelfile': 'fully_connected_model_5_states.xdsl', 'discretize__bins': [0, 20, 40, 60, 80, 100]}",0.21622461747980262,0.12845361597869243,0.03667797508596633,0.1271187361814871,0.0733056870316793,2,15618.931083432624,15619.373227727789,15619.342118337203,15619.215476499206,0.2014969160808764,1,-0.534458283687722,-0.31338613610597227,-0.32894083139843266,-0.3922617503973756,0.1007484580403252,1,0.6020892351274787,0.6729829210836279,0.21430298146655924,0.49645837922588854,0.20160229833454496,2,0.24743693073885936,0.354230377166157,0.33016514790289037,0.31061081860263556,0.045738305578163004,3,0.7913793103448277,0.6425364758698092,0.8770053475935828,0.7703070446027399,0.09687429393973658,3
90,2,2,0.08676528930664062,0.015710780875548194,1.2831433614095051,0.4457687098853759,fully_connected_model_2_states.xdsl,"[0, 95, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 95, 100]}",0.34335240057986266,0.18733350875547122,0.054309583741644886,0.19499849769232624,0.11812564365396268,3,246.21952635789532,247.37864090258944,246.99708696628534,246.8650847422567,0.4823242839223036,3,-0.8902368210523394,-0.3106795487052866,-0.5014565168573258,-0.5674576288716505,0.24116214196114966,3,0.7431486880466472,0.6991060786650773,0.3027619821283509,0.5816722496133585,0.1980372706364524,2,0.549576724465093,0.7109046337941851,0.4194279484972415,0.5599697689188399,0.11922157536197477,1,0.7788104089219331,0.7712378640776699,0.9447429009976975,0.8315970579991001,0.08006589869081604,1
90,2,1,0.0886670748392741,0.009170672975200751,1.3554686705271404,0.5155665131086143,fully_connected_model_2_states.xdsl,"[0, 50, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 50, 100]}",0.3821915271567129,0.5071836590740512,0.037141662597144846,0.30883894960930297,0.19878014670758848,1,247.02212764863484,247.4654617088158,246.6539919618795,247.04719377311005,0.33175495022216783,2,-0.4889361756825849,-0.2672691455920994,-0.6730040190602392,-0.4764031134449745,0.16587747511108053,2,0.6609977324263039,0.8152430141703085,0.07004242260131781,0.5154277230659767,0.32116864846740334,3,0.21226319986768474,0.7315035799522673,0.1979874276915356,0.38058473583716257,0.24820552744868143,3,0.8506493506493507,0.7664835164835164,0.7776497695852534,0.7982608789060402,0.037323676853375023,2
90,2,0,0.0909876823425293,0.01874541001639861,1.2625240484873455,0.465015146554095,fully_connected_model_2_states.xdsl,"[0, 5, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 5, 100]}",0.15369925159787207,0.44542403253278984,0.13521817390767238,0.2447804860127781,0.14207688558956116,2,246.67514958850867,247.36532720039568,247.51719661582166,247.1858911349087,0.3664321449234072,1,-0.6624252057456581,-0.3173363998021524,-0.24140169208916576,-0.4070544325456587,0.18321607246170354,1,0.34318108195659214,0.7339027943318766,0.6716490658001624,0.5829109806962104,0.1714092567342962,1,0.2680995297498284,0.6048155255352198,0.4183803413122118,0.43043179886575333,0.13772761445769335,2,0.8221830985915494,0.7733026467203683,0.7453488372093023,0.7802781941737399,0.03175289621692846,3
90,3,0,0.09312216440836589,0.020372159781095314,1.3946415583292644,0.4792473560461087,fully_connected_model_3_states.xdsl,"[0, 5, 95, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 5, 95, 100]}",0.22863554121924912,0.09628490429814246,0.054475330737461115,0.12646525875161757,0.07423424670131804,1,1450.4840231197627,1451.265885494787,1451.1072066055324,1450.9523717400273,0.3374488307399323,1,-0.7579884401186072,-0.3670572526065593,-0.4463966972338011,-0.5238141299863226,0.1687244153699327,1,0.5988176222870101,0.47743345252284464,0.3302012817041249,0.4688174521713266,0.1098312681755615,1,0.298886081799761,0.49540879392548115,0.421253310560638,0.40518272876196004,0.08103082456622364,2,0.8496732026143792,0.6452380952380952,0.9777777777777779,0.8242296918767508,0.13694570528714436,1
90,3,2,0.0920878251393636,0.023597692858041613,1.2952516078948975,0.4468970094622089,fully_connected_model_3_states.xdsl,"[0, 25, 75, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 25, 75, 100]}",0.13398557495626898,0.08632881662811716,0.05446339845554242,0.0915925966799762,0.03267746087829692,3,1449.850774677612,1451.055313201834,1451.3264193967798,1450.7441690920753,0.6413474498169859,3,-1.0746126611940527,-0.4723433990829653,-0.3367903016100514,-0.6279154539623565,0.32067372490853596,3,0.22853903466148365,0.4838696861342868,0.3794114992327828,0.36394007334285106,0.10481081101897284,2,0.20616536770148478,0.3510091304754287,0.3126879129914797,0.28995413705613104,0.06127831225829474,3,0.6232142857142857,0.6651735722284434,0.9150726855394031,0.7344868478273773,0.12883731089455377,2
90,3,1,0.10169212023417155,0.015590297924876125,1.3793339729309082,0.49529852554430726,fully_connected_model_3_states.xdsl,"[0, 33, 66, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 33, 66, 100]}",0.16000019731367204,0.07420918368134716,0.044210065978094085,0.0928064823243711,0.04906616802027621,2,1450.6835356583729,1450.6721443000301,1451.1945580902163,1450.8500793495398,0.24362764326570094,2,-0.658232170813535,-0.663927849984891,-0.40272095489181964,-0.5749603252300818,0.12181382163284138,2,0.383738257207645,0.37606939478214807,0.2608538676775882,0.3402205065557937,0.0562079495435946,3,0.24555123272213386,0.5995055624227441,0.5,0.4483522650482927,0.14904481042667098,1,0.8609271523178809,0.6168359941944848,0.5,0.6592543821707886,0.15036974883921936,3
